channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-796776,-591266,116618,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.127,0
-728001,-538053,-322712,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.13,0
-536443,-405967,787173,-8388608,-8388608,-8388608,-8388608,-7782794,1405293718.134,0
-552080,-421131,1506348,-8388608,-8179006,-8388608,-8388608,-7540922,1405293718.14,0
-760470,-561417,-395552,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.145,0
-523793,-400719,1533503,-8388608,-8132709,-8388608,-8388608,-7493154,1405293718.161,0
-787997,-581090,-414374,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.165,0
-598537,-448548,310117,-8388608,-8388608,-8388608,-8388608,-8070206,1405293718.168,0
-701247,-525561,876199,-8388608,-8388608,-8388608,-8388608,-8015271,1405293718.178,0
-631594,-470619,97946,-8388608,-8388608,-8388608,-8388608,-8206567,1405293718.182,0
-661192,-498232,1096445,-8388608,-8388608,-8388608,-8388608,-7880799,1405293718.188,0
-814752,-601399,-258203,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.193,0
-500597,-381924,1200460,-8388608,-8249304,-8388608,-8388608,-7600204,1405293718.2,0
-810374,-599396,-84486,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.208,0
-516277,-392537,983121,-8388608,-8359791,-8388608,-8388608,-7711389,1405293718.216,0
-582639,-443676,1419590,-8388608,-8258810,-8388608,-8388608,-7652835,1405293718.222,0
-732913,-540608,-347085,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.23,0
-547372,-417199,1502092,-8388608,-8186736,-8388608,-8388608,-7574528,1405293718.237,0
-764145,-563215,-413436,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.242,0
-569816,-428492,500591,-8388608,-8388608,-8388608,-8388608,-7987627,1405293718.249,0
-734220,-548687,648842,-8388608,-8388608,-8388608,-8388608,-8175869,1405293718.257,0
-602831,-450864,271137,-8388608,-8388608,-8388608,-8388608,-8130346,1405293718.265,0
-695855,-522659,896951,-8388608,-8388608,-8388608,-8388608,-8036435,1405293718.27,0
-808514,-596342,-366656,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.278,0
-496657,-379305,1349066,-8388608,-8192320,-8388608,-8388608,-7571606,1405293718.285,0
-814853,-602078,-244824,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.29,0
-502313,-382991,1168800,-8388608,-8277309,-8388608,-8388608,-7654690,1405293718.313,0
-616017,-467424,1296371,-8388608,-8355223,-8388608,-8388608,-7782931,1405293718.316,0
-703516,-519692,-257036,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.319,0
-577151,-438766,1426168,-8388608,-8266787,-8388608,-8388608,-7681482,1405293718.322,0
-738024,-544664,-367320,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.328,0
-544022,-415906,1499084,-8388608,-8200137,-8388608,-8388608,-7608392,1405293718.335,0
-764085,-568844,414425,-8388608,-8388608,-8388608,-8388608,-8327645,1405293718.357,0
-574219,-431222,462509,-8388608,-8388608,-8388608,-8388608,-8047184,1405293718.36,0
-729216,-545335,676686,-8388608,-8388608,-8388608,-8388608,-8192166,1405293718.364,0
-607630,-454039,236691,-8388608,-8388608,-8388608,-8388608,-8188367,1405293718.367,0
-500879,-383329,1451430,-8388608,-8170090,-8388608,-8388608,-7573200,1405293718.369,0
-810594,-597836,-359701,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.376,0
-496549,-379636,1324625,-8388608,-8219128,-8388608,-8388608,-7620417,1405293718.384,0
-815183,-601794,-226604,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.39,0
-675448,-500499,-135891,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.397,0
-610172,-462533,1315901,-8388608,-8360266,-8388608,-8388608,-7806604,1405293718.405,0
-708517,-523797,-273066,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.413,0
-571492,-434432,1447650,-8388608,-8271036,-8388608,-8388608,-7708729,1405293718.418,0
-787891,-584529,202239,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.425,0
-547615,-413171,681963,-8388608,-8388608,-8388608,-8388608,-7961777,1405293718.434,0
-759090,-565469,460269,-8388608,-8388608,-8388608,-8388608,-8340930,1405293718.439,0
-577868,-433397,442988,-8388608,-8388608,-8388608,-8388608,-8104529,1405293718.446,0
-513301,-392477,1518309,-8388608,-8172981,-8388608,-8388608,-7605362,1405293718.454,0
-795867,-586761,-410888,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.462,0
-498700,-382155,1448903,-8388608,-8183932,-8388608,-8388608,-7615288,1405293718.466,0
-810861,-597833,-336279,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.475,0
-644523,-479235,21894,-8388608,-8388608,-8388608,-8388608,-8371983,1405293718.483,0
-644312,-486110,1174519,-8388608,-8388608,-8388608,-8388608,-7943944,1405293718.488,0
-678734,-502867,-146232,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.495,0
-604944,-459155,1343507,-8388608,-8357391,-8388608,-8388608,-7829499,1405293718.503,0
-805986,-597151,-980,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.51,0
-525131,-398142,892221,-8388608,-8388608,-8388608,-8388608,-7880512,1405293718.516,0
-785654,-583689,235866,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.524,0
-551711,-416014,650644,-8388608,-8388608,-8388608,-8388608,-8018414,1405293718.532,0
-535909,-409557,1519623,-8388608,-8210926,-8388608,-8388608,-7670027,1405293718.537,0
-775968,-572202,-419824,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.544,0
-511557,-391887,1511795,-8388608,-8183932,-8388608,-8388608,-7641054,1405293718.552,0
-798869,-588975,-404124,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.56,0
-615126,-459149,192466,-8388608,-8388608,-8388608,-8388608,-8296935,1405293718.566,0
-679142,-510633,988809,-8388608,-8388608,-8388608,-8388608,-8087994,1405293718.578,0
-648847,-482324,-2373,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.582,0
-638891,-482554,1192117,-8388608,-8388608,-8388608,-8388608,-7962392,1405293718.585,0
-813350,-601295,-175674,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.593,0
-507402,-385826,1088683,-8388608,-8348439,-8388608,-8388608,-7808547,1405293718.602,0
-802944,-594611,25192,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.607,0
-527846,-399417,857490,-8388608,-8388608,-8388608,-8388608,-7931392,1405293718.614,0
-562822,-428787,1463381,-8388608,-8273189,-8388608,-8388608,-7757912,1405293718.622,0
-749819,-553223,-384855,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.63,0
-532451,-407409,1511571,-8388608,-8215651,-8388608,-8388608,-7696371,1405293718.635,0
-778729,-573829,-424107,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.642,0
8133696,-195017,-7642839,4194304,4291311,4194304,4194304,4551800,1405293718.65,0
-714186,-534871,773113,-8388608,-8388608,-8388608,-8388608,-8230904,1405293718.655,0
-620946,-463422,160966,-8388608,-8388608,-8388608,-8388608,-8345637,1405293718.664,0
-675081,-507564,1003249,-8388608,-8388608,-8388608,-8388608,-8101683,1405293718.671,0
-812467,-599086,-311097,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.678,0
-498856,-380861,1252898,-8388608,-8277946,-8388608,-8388608,-7757560,1405293718.684,0
-812582,-600289,-154404,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.692,0
-510839,-388590,1055411,-8388608,-8371043,-8388608,-8388608,-7856307,1405293718.7,0
-800792,-592799,53273,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.704,0
-721444,-532229,-306000,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.712,0
-560036,-427249,1468022,-8388608,-8275861,-8388608,-8388608,-7780424,1405293718.72,0
